"Sale Month","Store","ISRC","Title","Earnings (USD)"
"2025-07","Spotify","USISLEM23010","Starlight Dream","25.80"
"2025-07","Spotify","USISLEM23011","Solitary Beat","18.40"
"2025-07","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-08","Spotify","USISLEM23001","Silent Waves","25.20"
"2025-08","Apple Music","USISLEM23002","Midnight Drive","20.90"
"2025-08","Amazon","USISLEM23003","Echoes in the Rain","18.40"
"2025-08","Spotify","USISLEM23004","Neon Skyline","31.80"
"2025-08","YouTube","USISLEM23005","Fading Lights","27.80"
"2025-08","Spotify","USISLEM23006","Deep Horizon","34.80"
"2025-08","Apple Music","USISLEM23007","Velvet Sky","41.80"
"2025-08","Spotify","USISLEM23008","Amber Sunset","21.80"
"2025-08","Amazon","USISLEM23009","Silver Moon","29.80"
"2025-08","Spotify","USISLEM23010","Starlight Dream","24.80"
"2025-08","Spotify","USISLEM23011","Solitary Beat","17.80"
"2025-08","Spotify","USISLEM23012","Shadow Dance","17.90"
"2025-09","Spotify","USISLEM23001","Silent Waves","25.60"
"2025-09","Apple Music","USISLEM23002","Midnight Drive","21.20"
"2025-09","Amazon","USISLEM23003","Echoes in the Rain","18.70"
"2025-09","Spotify","USISLEM23004","Neon Skyline","32.30"
"2025-09","YouTube","USISLEM23005","Fading Lights","28.30"
"2025-09","Spotify","USISLEM23006","Deep Horizon","35.30"
"2025-09","Apple Music","USISLEM23007","Velvet Sky","42.30"
"2025-09","Spotify","USISLEM23008","Amber Sunset","22.30"
"2025-09","Amazon","USISLEM23009","Silver Moon","30.30"
"2025-09","Spotify","USISLEM23010","Starlight Dream","25.30"
"2025-09","Spotify","USISLEM23011","Solitary Beat","18.30"
"2025-09","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-10","Spotify","USISLEM23001","Silent Waves","25.40"
"2025-10","Apple Music","USISLEM23002","Midnight Drive","21.00"
"2025-10","Amazon","USISLEM23003","Echoes in the Rain","18.50"
"2025-10","Spotify","USISLEM23004","Neon Skyline","32.00"
"2025-10","YouTube","USISLEM23005","Fading Lights","28.00"
"2025-10","Spotify","USISLEM23006","Deep Horizon","35.00"
"2025-10","Apple Music","USISLEM23007","Velvet Sky","42.00"
"2025-10","Spotify","USISLEM23008","Amber Sunset","22.00"
"2025-10","Amazon","USISLEM23009","Silver Moon","30.00"
"2025-10","Spotify","USISLEM23010","Starlight Dream","25.00"
"2025-10","Spotify","USISLEM23011","Solitary Beat","18.00"
"2025-10","Spotify","USISLEM23012","Shadow Dance","18.10"
"2025-11","Spotify","USISLEM23001","Silent Waves","25.90"
"2025-11","Apple Music","USISLEM23002","Midnight Drive","21.40"
"2025-11","Amazon","USISLEM23003","Echoes in the Rain","19.00"
"2025-11","Spotify","USISLEM23004","Neon Skyline","32.60"
"2025-11","YouTube","USISLEM23005","Fading Lights","28.60"
"2025-11","Spotify","USISLEM23006","Deep Horizon","35.80"
"2025-11","Apple Music","USISLEM23007","Velvet Sky","42.80"
"2025-11","Spotify","USISLEM23008","Amber Sunset","22.60"
"2025-11","Amazon","USISLEM23009","Silver Moon","30.60"
"2025-11","Spotify","USISLEM23010","Starlight Dream","25.60"
"2025-11","Spotify","USISLEM23011","Solitary Beat","18.30"
"2025-11","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-12","Spotify","USISLEM23001","Silent Waves","25.50"
"2025-12","Apple Music","USISLEM23002","Midnight Drive","21.10"
"2025-12","Amazon","USISLEM23003","Echoes in the Rain","18.60"
"2025-12","Spotify","USISLEM23004","Neon Skyline","32.10"
"2025-12","YouTube","USISLEM23005","Fading Lights","28.10"
"2025-12","Spotify","USISLEM23006","Deep Horizon","35.20"
"2025-12","Apple Music","USISLEM23007","Velvet Sky","42.20"
"2025-12","Spotify","USISLEM23008","Amber Sunset","22.20"
"2025-12","Amazon","USISLEM23009","Silver Moon","30.20"
"2025-12","Spotify","USISLEM23010","Starlight Dream","25.20"
"2025-12","Spotify","USISLEM23011","Solitary Beat","18.10"
"2025-12","Spotify","USISLEM23012","Shadow Dance","18.00"
"2026-01","Spotify","USISLEM23001","Silent Waves","25.10"
"2026-01","Apple Music","USISLEM23002","Midnight Drive","20.80"
"2026-01","Amazon","USISLEM23003","Echoes in the Rain","18.30"
"2026-01","Spotify","USISLEM23004","Neon Skyline","31.70"
"2026-01","YouTube","USISLEM23005","Fading Lights","27.70"
"2026-01","Spotify","USISLEM23006","Deep Horizon","34.70"
"2026-01","Apple Music","USISLEM23007","Velvet Sky","41.70"
"2026-01","Spotify","USISLEM23008","Amber Sunset","21.70"
"2026-01","Amazon","USISLEM23009","Silver Moon","29.70"
"2026-01","Spotify","USISLEM23010","Starlight Dream","24.70"
"2026-01","Spotify","USISLEM23011","Solitary Beat","17.70"
"2026-01","Spotify","USISLEM23012","Shadow Dance","17.90"
"2026-02","Spotify","USISLEM23001","Silent Waves","25.80"
"2026-02","Apple Music","USISLEM23002","Midnight Drive","21.30"
"2026-02","Amazon","USISLEM23003","Echoes in the Rain","18.90"
"2026-02","Spotify","USISLEM23004","Neon Skyline","32.50"
"2026-02","YouTube","USISLEM23005","Fading Lights","28.50"
"2026-02","Spotify","USISLEM23006","Deep Horizon","35.60"
"2026-02","Apple Music","USISLEM23007","Velvet Sky","42.60"
"2026-02","Spotify","USISLEM23008","Amber Sunset","22.40"
"2026-02","Amazon","USISLEM23009","Silver Moon","30.40"
"2026-02","Spotify","USISLEM23010","Starlight Dream","25.40"
"2026-02","Spotify","USISLEM23011","Solitary Beat","18.20"
"2026-02","Spotify","USISLEM23012","Shadow Dance","18.00"
"2026-03","Spotify","USISLEM23001","Silent Waves","25.45"
"2026-03","Apple Music","USISLEM23002","Midnight Drive","21.05"
"2026-03","Amazon","USISLEM23003","Echoes in the Rain","18.60"
"2026-03","Spotify","USISLEM23004","Neon Skyline","32.14"
"2026-03","YouTube","USISLEM23005","Fading Lights","28.15"
"2026-03","Spotify","USISLEM23006","Deep Horizon","35.25"
"2026-03","Apple Music","USISLEM23007","Velvet Sky","42.25"
"2026-03","Spotify","USISLEM23008","Amber Sunset","22.15"
"2026-03","Amazon","USISLEM23009","Silver Moon","30.15"
"2026-03","Spotify","USISLEM23010","Starlight Dream","25.15"
"2026-03","Spotify","USISLEM23011","Solitary Beat","18.15"
"2026-03","Spotify","USISLEM23012","Shadow Dance","18.10"
"2026-04","Spotify","USISLEM23001","Silent Waves","76.46"
